COUNTY,RISK_SCORE
Lonoke,78.778237352847597
Madison,61.788100540884507
Marion,42.761692650334076
Miller,74.228444161629014
Mississippi,88.991409481387208
Monroe,61.533566656061090
Montgomery,19.630925867006045
Nevada,17.181037225580656
Newton,13.744829780464524
Ouachita,53.611199490932229
Perry,40.757238307349667
Phillips,65.287941457206486
Pike,32.325803372573972
Poinsett,77.378300986318806
Polk,47.979637289214125
Pope,82.850779510022278
Prairie,48.234171174037542
Pulaski,95.068405981546292
Randolph,67.769646834234806
St. Francis,80.019090041361750
Saline,76.201081769010500
Scott,31.180400890868597
Searcy,24.498886414253899
Sebastian,83.932548520521806
Sevier,34.521158129175944
Sharp,66.146993318485528
Stone,57.174673878460069
Union,61.915367483296215
Van Buren,59.560929048679597
Washington,91.027680559974542
White,87.750556792873041
Woodruff,66.878778237352847
Yell,64.078905504295264
Alameda,99.872733057588292
Alpine,23.926185173401208
Amador,77.791918549156861
Butte,97.168310531339486
Calaveras,86.446070633153042
Colusa,95.418390073178500
Contra Costa,99.586382437161944
Del Norte,84.346166083359847
El Dorado,91.600381800827236
Fresno,98.090995863824375
Glenn,94.813872096722875
Humboldt,97.009226853324847
Imperial,98.059179128221444
Inyo,75.882914412981222
Kern,99.013681196309250
Kings,91.059497295577472
Lake,91.918549156856514
Lassen,75.342029907731472
Los Angeles,100.000000000000000
Madera,94.654788418708236
Marin,96.022908049634097
Mariposa,79.860006363347125
Mendocino,95.100222717149222
Merced,95.322939866369722
Modoc,80.846325167037861
Mono,67.801463569837736
Monterey,98.377346484250722
Napa,97.677378300986319
Nevada,84.091632198536431
Orange,99.777282850779514
Placer,89.341393573019417
Plumas,78.969137766465153
Riverside,99.936366528794139
Sacramento,97.645561565383389
San Benito,93.859370028635055
San Bernardino,99.904549793191222
San Diego,99.681832643970722
San Francisco,98.918230989500472
San Joaquin,97.772828507795097
San Luis Obispo,93.318485523385291
San Mateo,99.331848552338528
Santa Barbara,99.395482023544375
Santa Clara,99.840916321985361
Santa Cruz,97.613744829780472
Shasta,95.291123130766792
Sierra,36.398345529748646
Siskiyou,90.614062997136486
Solano,98.218262806236083
Sonoma,99.172764874323889
Stanislaus,95.800190900413611
Sutter,96.054724785237028
Tehama,93.063951638561875
Trinity,69.869551384028000
Tulare,95.768374164810695
Tuolumne,85.777919185491569
Ventura,99.427298759147305
Yolo,97.359210944957042
Yuba,89.023226216990139
Adams,94.177537384664333
Alamosa,34.330257715558382
Arapahoe,95.163856188355084
Archuleta,14.985682468978684
Baca,5.790645879732740
Bent,8.622335348393255
Boulder,89.500477251034042
Broomfield,67.292395800190903
Chaffee,13.490295895641108
Cheyenne,5.217944638880051
Clear Creek,37.671014953865736
Conejos,6.204263442570792
Costilla,4.295259306395164
Crowley,5.249761374482978
Custer,7.095132039452752
Delta,16.576519249125042
Denver,93.604836143811639
Dolores,1.304486159720013
Douglas,81.896277441934458
Eagle,32.007636016544708
Elbert,23.385300668151448
El Paso,93.509385937002861
Fremont,42.570792236716514
Garfield,56.411072223989819
Gilpin,14.190264078905503
Grand,31.562201718103722
Gunnison,23.671651288577792
Hinsdale,2.863506204263443
Huerfano,18.199172764874323
Jackson,1.749920458160993
Jefferson,94.782055361119959
Kiowa,2.958956411072224
Kit Carson,49.856824689786826
Lake,4.072542157174674
